,CPV_zmix,CPV_PC_0,CPV_PC_1,CPV_PC_2,CPV_PC_3,CPV_PC_4,CPV_PC_5,CPV_PC_6,CPV_PC_7,CPV_PC_8,CPV_PC_9,CPV_PC_10,CPV_PC_11,CPV_PC_12,CPV_PC_13,CPV_PC_14,CPV_PC_15,CPV_PC_16,CPV_PC_17,CPV_PC_18,CPV_PC_19,CPV_PC_20,CPV_PC_21,CPV_PC_22,CPV_PC_23,CPV_PC_24
YiCH,0.0,1.5517385534752e-05,1.64872514773157e-05,-1.69651391967725e-05,3.91650599881759e-05,-7.61699062711728e-05,-0.0001720596918464,0.0003585053052408,0.0001566559963518,0.0007853609506863,-0.0001406644958182,0.0013221033113135,-0.002457000028807,-0.0020581361094014,0.0026092067368513,-0.0026746757448627,-0.0058365482582693,-0.0113109080484629,0.0082956442180375,-0.0340086455934741,-0.0444288383214995,-0.0645328546089883,0.0105304393894046,-0.158962148412652,-0.1683385390971,0.0781996321444517
YiCH2,0.0,2.36169316868899e-05,2.02657612186332e-05,-2.4525621625349e-05,-2.09794675630602e-05,-8.55653384765002e-05,-0.0001864296418032,0.0004126022092264,0.0003464371332505,-0.0002216400880843,0.0024710899772688,0.0008737405155635,-0.0007340874960991,-0.0054859849286865,0.0043847947650677,0.0056874417996823,-0.0026114487616616,-0.0374510750055776,0.0105570887471333,-0.0582388821592973,-0.0167620268146365,-0.012755229783416,0.0443328757781308,-0.393888445968632,-0.316975428305388,0.156147948975969
YiCH2(S),0.0,2.57895714550395e-06,2.38584397753718e-06,-2.63775508786346e-06,5.33351551868843e-07,-1.02453362404373e-05,-2.19438215659369e-05,4.71088731313576e-05,1.61637227834445e-05,-5.71986898614893e-06,0.0002279729428806,0.0001384280996512,-0.0001240258100274,-0.0007525972875613,0.0005926628812547,0.0004945984863947,-0.0003846405474145,-0.0058120875656777,0.00137747722507,-0.0087884148714055,-0.0013367136122523,-0.0045113456652886,0.0064203244901717,-0.0841084004049983,-0.0646511397604212,0.0055626390124843
YiCH2CHO,0.0,4.58074334656649e-06,-5.7020528045974e-05,8.29647060558064e-06,3.28030373952967e-05,-4.86433864972444e-05,6.3124251285369e-06,-0.0001783434071846,-3.04925770293231e-05,0.0002681880836911,0.0042790400800085,-0.0027909962748773,0.0052678180630544,0.0025961791970377,0.0038182107361602,-0.0152327049805141,0.0159588396904929,-0.110470356291281,0.0753237998509472,0.0577660073102679,0.023903204801633,-0.0063882639910578,-0.325239923096891,0.0355294237574888,-0.145133352537146,0.220608938205542
YiCH2CO,0.0,0.003346586848014,-0.0194304518525241,-0.0025764865102362,-0.0078838514727628,0.0049366485974735,-0.0094680837221449,-0.0243703578596339,-0.220403985874036,0.595104467336945,0.651757776706408,-0.188292822359722,0.214964038766729,0.139021621958673,0.0008241671541118,0.108528162034216,-0.226058205663636,0.0382393006448247,-0.0534714785118212,0.0455845382177087,-0.029893229204211,-0.0010764391211943,-0.0102844568271437,-0.0027851160991195,-0.0025388513781106,-0.0003506007152147
YiCH2O,0.0,0.0006160272344489,-0.0049116887446038,-0.0003672739920823,0.0015462537794961,0.0009757387828236,-0.0065548667749555,0.0002161511416118,-0.0203867749951728,0.0569262406846677,0.177999929261578,-0.0608553668254522,0.154339855919335,0.0576953010869288,0.025063016165813,-0.771583897600534,0.517682809544966,-0.146922680192184,0.0754734763719562,0.0523867692376175,-0.0719238686639915,0.0237659141784607,0.119659648319387,0.0569443550240748,-0.0994752085923821,-0.0364175363185917
YiCH2OH,0.0,2.43716012983208e-07,-9.40025134448704e-07,-3.85113115934746e-08,-4.59749701537728e-07,-1.68712826703235e-07,5.88074235261214e-08,-4.49291233852522e-06,-3.17146548134736e-05,3.57333740421884e-05,0.0002059002616844,-9.38861101772824e-05,0.0001888172456646,-6.06777204521626e-05,0.0003226727448093,0.000300150356626,-9.09589205249963e-05,-0.004206012223999,0.002229762420389,-0.0017459049867797,0.0054389996545663,-0.0021995071619011,0.0019558621414898,-0.028697808382213,-0.0181980694426608,-0.0149262664037109
YiCH3,0.0,0.0002917406883333,-6.68540412016548e-05,-0.0002719700304354,-0.0022303758652806,-0.0002704038020096,0.0001362033113843,0.0002105695075699,-0.0004717136202695,-0.0157637424628461,0.0486560202235472,-0.0236547459491526,0.0855372743906749,-0.0535269894181311,0.0750722649032159,0.117737242934531,-0.0215943986691158,-0.422827271663626,0.236871232492069,-0.703397426746801,-0.224355950165188,0.414483385405644,0.0552416512676327,0.0990660504557156,0.0122635472437722,0.0075407392519088
YiCH3CHO,0.0,2.58479037553415e-05,-0.0001726588184761,-1.74639829022033e-05,-3.67130778125822e-06,4.69961863402754e-05,-0.0001926945590167,-9.88613187952269e-05,-0.0013091257554821,0.0035646197398455,0.0057525139629375,-0.0015665279803399,0.0029835106372605,0.001715927850306,-0.0010233073330346,-0.0113930496004858,0.0112312522450457,-0.001704022115099,0.0011923390026008,-0.0157681308967287,0.0304764497096988,-0.0097137617733912,0.0053086342256355,-0.0356328297942018,0.0261364984820969,-0.0267375975202947
YiCH3O,0.0,6.41544119150727e-07,-8.0169592565288e-06,1.26497314046558e-06,4.90619775031924e-06,-6.58947517340082e-06,-1.34222242226105e-06,-2.58861514878068e-05,-3.19848749370288e-07,2.97489918298617e-05,0.0006227211492487,-0.0003975643017729,0.0007902133786985,0.0004060519410515,0.0004984429050758,-0.0027129716124381,0.0037132576032139,-0.0155166559374101,0.0105330285324898,0.0104681306751924,-0.005331923164429,0.0031930345089109,-0.043852409684986,0.0311403888546718,-0.0400662751497972,0.0348948948627377
